epoch,label_percent,labeled_samples,unlabeled_samples,loss,sup_loss,lv_loss,dice,iou,val_model_source,val_loss,val_sup_loss,val_lv_loss,val_dice,val_iou,val_dice_student,val_iou_student,val_dice_ema,val_iou_ema,train_pseudo_valid_ratio,epi_bank_size
1,25.0,1429,4287,0.6355809593823418,0.6355809593823418,0.0,0.5526874992582533,0.4194671279854244,student,0.509820971875194,0.509820971875194,0.0,0.6376562837623398,0.5008388710989662,0.6376562837623398,0.5008388710989662,4.4699517079740573e-10,4.4699517079740573e-10,0.0,1408
2,25.0,1429,4287,0.4206809797393742,0.4206809797393742,0.0,0.6790790624088712,0.5492774579260085,student,0.4221342106938279,0.4221342106938279,0.0,0.6707996171700362,0.5439813640503053,0.6707996171700362,0.5439813640503053,4.4699517079740573e-10,4.4699517079740573e-10,0.0,2368
3,25.0,1429,4287,0.3007152077199808,0.3007152077199808,0.0,0.7447390423880683,0.6239427593019273,student,0.315482364533413,0.315482364533413,0.0,0.7379883463104093,0.620296394558033,0.7379883463104093,0.620296394558033,4.4699517079740573e-10,4.4699517079740573e-10,0.0,3015
4,25.0,1429,4287,0.2295908360783733,0.2295908360783733,0.0,0.7667244871457418,0.6566428144772848,student,0.2816746460548892,0.2816746460548892,0.0,0.7596449921646679,0.6464304589908219,0.7596449921646679,0.6464304589908219,4.4699517079740573e-10,4.4699517079740573e-10,0.0,3407
5,25.0,1429,4287,0.1946028006165775,0.1946028006165775,0.0,0.7843647334310744,0.6797509855694241,student,0.2541894557552791,0.2541894557552791,0.0,0.7764546912896041,0.6708683365704381,0.7764546912896041,0.6708683365704381,4.4699517079740573e-10,4.4699517079740573e-10,0.0,3694
6,25.0,1429,4287,0.1717974772649025,0.1717974772649025,0.0,0.7924688458442688,0.6873715056313409,student,0.2772848665860251,0.2772848665860251,0.0,0.7384230524948046,0.6253810597100068,0.7384230524948046,0.6253810597100068,4.4699517079740573e-10,4.4699517079740573e-10,0.0,3884
7,25.0,1429,4287,0.1621820676460195,0.1621820676460195,0.0,0.798474543624454,0.6974700027041965,student,0.2392556138852828,0.2392556138852828,0.0,0.785708744263966,0.6801496543110126,0.785708744263966,0.6801496543110126,4.4699517079740573e-10,4.4699517079740573e-10,0.0,4001
8,25.0,1429,4287,0.1475497385792767,0.1472732990757743,0.0002764397997534,0.8128983974456787,0.7145530581474304,student,0.2322841737135212,0.2322841737135212,0.0,0.7937286703881891,0.6922193572102434,0.7937286703881891,0.6922193572102434,4.4699517079740573e-10,4.4699517079740573e-10,0.0113861054001809,4106
9,25.0,1429,4287,0.143378147771999,0.1402533675974874,0.0031247800624401,0.8095064494344923,0.7111099494828118,student,0.2464437573376529,0.2464437573376529,0.0,0.7727786932815781,0.6678902993592623,0.7727786932815781,0.6678902993592623,4.4699517079740573e-10,4.4699517079740573e-10,0.1611510707593675,4177
10,25.0,1429,4287,0.1501256695656634,0.1373950018922784,0.0127306676177836,0.8198043041759067,0.7212672829627991,student,0.2457481969103603,0.2457481969103603,0.0,0.7679154148795874,0.6666671334654406,0.7679154148795874,0.6666671334654406,0.001109498383424,0.0005745595749182,0.2820806739045612,4214
11,25.0,1429,4287,0.1494136087930024,0.1326743967608729,0.0167392117819234,0.8236180808809068,0.7306783397992452,student,0.2301358070154136,0.2301358070154136,0.0,0.7905155220508909,0.6874645243498559,0.7905155220508909,0.6874645243498559,0.0515207023372218,0.0301052736023283,0.2969939779879442,4240
12,25.0,1429,4287,0.1429492882939416,0.1254584367261893,0.0174908515399516,0.8304745290014479,0.7399350272284614,student,0.2355302142838317,0.2355302142838317,0.0,0.7964580237156366,0.6949641698719823,0.7964580237156366,0.6949641698719823,0.158312221594087,0.1042569063035569,0.2982138786742936,4256
13,25.0,1429,4287,0.1335185434280046,0.1178241182507863,0.0156944252328196,0.8466446201006571,0.7587636311848959,student,0.2293674819447762,0.2293674819447762,0.0,0.7956639421912154,0.6960402150684675,0.7956639421912154,0.6960402150684675,0.2810773638848077,0.2024904411518131,0.2964342183141566,4265
14,25.0,1429,4287,0.1266147769542772,0.1131297451124262,0.013485032092057,0.8595258593559265,0.7714342011345757,student,0.2348388610518504,0.2348388610518504,0.0,0.7940741100871872,0.6945467788577497,0.7940741100871872,0.6945467788577497,0.3784313968964771,0.285946302089848,0.2975226075791601,4274
15,25.0,1429,4287,0.1205640360156991,0.1089834270081413,0.0115806088268534,0.8583910796377394,0.7675656278928121,student,0.2366016817685188,0.2366016817685188,0.0,0.7929908692878472,0.6944232469175644,0.7929908692878472,0.6944232469175644,0.4764025746900105,0.3741807326351203,0.3005855172427732,4280
16,25.0,1429,4287,0.1105240264268063,0.1013836217905158,0.0091404047196925,0.8745206991831461,0.7937950491905212,student,0.2392251290709426,0.2392251290709426,0.0,0.7925441429029402,0.6932477083883559,0.7925441429029402,0.6932477083883559,0.5471650431046042,0.4407874858612944,0.3039151554677023,4282
17,25.0,1429,4287,0.1054925287503804,0.0978070625395917,0.0076854662594399,0.8737916549046835,0.7944791383213468,student,0.2426683490221278,0.2426683490221278,0.0,0.8007703295448095,0.7015501773382418,0.8007703295448095,0.7015501773382418,0.6179642131313567,0.5084049581772302,0.3071707705063606,4284
18,25.0,1429,4287,0.0963594077238396,0.091271204568112,0.0050882031835282,0.8859334124459161,0.8062296112378439,student,0.2453703726188881,0.2453703726188881,0.0,0.7972963645042782,0.6982312621229424,0.7972963645042782,0.6982312621229424,0.6657008136211366,0.5556833471260845,0.3099895715713501,4285
19,25.0,1429,4287,0.0936185949996336,0.0889083397811028,0.0047102551942051,0.8933126264148288,0.8174629741244845,student,0.2457442178623587,0.2457442178623587,0.0,0.7948655036465115,0.6971262938664291,0.7948655036465115,0.6971262938664291,0.7077285820074729,0.5991731159248245,0.3122844335748188,4286
20,25.0,1429,4287,0.0863892865269931,0.0834825950772015,0.0029066912864626,0.8929504619704353,0.8178987304369608,student,0.2539059246979533,0.2539059246979533,0.0,0.793136913389322,0.6949207967523932,0.793136913389322,0.6949207967523932,0.7376337143155225,0.630346613801218,0.3142982067456886,4286
21,25.0,1429,4287,0.0793084218375273,0.0770134146589396,0.0022950070395843,0.90656273232566,0.8374197085698446,student,0.2628387260512091,0.2628387260512091,0.0,0.7900776409285314,0.6910054524767391,0.7900776409285314,0.6910054524767391,0.7518636240585439,0.6463061843909443,0.3164026843967722,4286
22,25.0,1429,4287,0.0761325148893381,0.0740519696151587,0.002080545260279,0.9006726675563388,0.8285931547482809,student,0.2586078472263418,0.2586078472263418,0.0,0.7931581622991969,0.694745185660515,0.7931581622991969,0.694745185660515,0.761223204866667,0.6569795972655251,0.3176233154624255,4286
23,25.0,1429,4287,0.0728292243082576,0.0709687755790664,0.0018604486457892,0.9050244622760348,0.8388316763771905,student,0.2625642130118804,0.2625642130118804,0.0,0.7946674171822149,0.6957796174717417,0.7946674171822149,0.6957796174717417,0.7683582611230806,0.6652131986167567,0.3187216057706235,4286
24,25.0,1429,4287,0.0694521916335198,0.0677369508002676,0.0017152409201293,0.9117389718691508,0.8449275294939677,student,0.2680804708710578,0.2680804708710578,0.0,0.7904489771563995,0.6914352782962204,0.7904489771563995,0.6914352782962204,0.7733443789835823,0.6709965012805957,0.3197581625696438,4286
25,25.0,1429,4287,0.0666883054898301,0.0652583719912304,0.0014299335750514,0.909743971294827,0.8421941465801663,student,0.2647615590134728,0.2647615590134728,0.0,0.7948031148933881,0.6956338086605406,0.7948031148933881,0.6956338086605406,0.7773456312377107,0.6757101188430092,0.3206584124422785,4286
26,25.0,1429,4287,0.0650743835730784,0.0636753462699811,0.0013990373586985,0.9189605977800156,0.8552597032652961,student,0.265496197282392,0.265496197282392,0.0,0.7959218740963786,0.6967696365232314,0.7959218740963786,0.6967696365232314,0.780756106695318,0.6795582493507754,0.321106271067662,4287
27,25.0,1429,4287,0.0631858702026196,0.0618260381604308,0.0013598320508764,0.9227634734577604,0.8629166947470771,student,0.2669222237368911,0.2669222237368911,0.0,0.794507487659441,0.6951042659387795,0.794507487659441,0.6951042659387795,0.7833805976421204,0.6826092836488119,0.3215740514335348,4287
28,25.0,1429,4287,0.0621801339534681,0.061055549656722,0.0011245842272443,0.917923801475101,0.8543568187289767,student,0.2670378920246121,0.2670378920246121,0.0,0.794920830479696,0.6957989954464581,0.794920830479696,0.6957989954464581,0.7852094812439905,0.6848393191066633,0.322097495865466,4287
29,25.0,1429,4287,0.0617571661332205,0.0606787651777267,0.0010784009789505,0.9216957423422072,0.8630202809969584,student,0.2699711931135539,0.2699711931135539,0.0,0.7919863309369711,0.6928128939645952,0.7919863309369711,0.6928128939645952,0.7866980447228594,0.6866281631528456,0.3223783320455409,4287
30,25.0,1429,4287,0.061139479112714,0.0601257014074432,0.0010137776218688,0.9252067142062717,0.8660715619723002,student,0.2699411623518812,0.2699411623518812,0.0,0.7926282481433129,0.6932484635612696,0.7926282481433129,0.6932484635612696,0.7880381433758559,0.6881742689307542,0.3226110152344205,4287
31,25.0,1429,4287,0.0966672971844673,0.0939689336984015,0.0026983635659927,0.8665733138720194,0.7833538187874688,ema,0.2568031320357506,0.2568031320357506,0.0,0.7932031912099573,0.6938658451767048,0.7900351742249924,0.6878212367512281,0.7932031912099573,0.6938658451767048,0.3228093003159138,1408
32,25.0,1429,4287,0.089590690474012,0.0873426495870547,0.0022480408122429,0.8850125273068746,0.805203358332316,ema,0.2509423035520869,0.2509423035520869,0.0,0.7969741379989453,0.6981803574205029,0.7969099235251035,0.6956801396554129,0.7969741379989453,0.6981803574205029,0.3227413412350327,2368
33,25.0,1429,4287,0.0793632435153669,0.0775844130609462,0.0017788305291349,0.900767809814877,0.8274982439147102,ema,0.2485361951080713,0.2485361951080713,0.0,0.7986416933501492,0.7001743436777317,0.7930087910572743,0.6939260904149962,0.7986416933501492,0.7001743436777317,0.3227239793805934,3015
34,25.0,1429,4287,0.0729038551338573,0.0713252072681241,0.0015786477145669,0.9020982053544786,0.8330768413013883,ema,0.2481524180373251,0.2481524180373251,0.0,0.7991312733474021,0.7008560576415546,0.7931560678779036,0.6940509934288542,0.7991312733474021,0.7008560576415546,0.3227435248111611,3407
35,25.0,1429,4287,0.0679546180667717,0.0666008939716353,0.0013537243609803,0.917598717742496,0.8533209164937338,ema,0.2485676117924395,0.2485676117924395,0.0,0.79950041417228,0.7014119056574192,0.7928172396228729,0.6927946995737838,0.79950041417228,0.7014119056574192,0.3229472058922497,3694
36,25.0,1429,4287,0.0651284926640453,0.0640192344617932,0.001109258304767,0.9218903912438288,0.8600919908947415,ema,0.2490453163358696,0.2490453163358696,0.0,0.7999271642002215,0.7019718448710325,0.7950690203900934,0.6960058765781768,0.7999271642002215,0.7019718448710325,0.3232268900123994,3884
